sys_nm,species,cuid,cunamepse,region,GFE_ID,streamid,lat,lon
DANA CREEK #3,Chinook,806,East Haida Gwaii,Haida Gwaii,1601.0,1558,52.79542341,-131.811384
DASS CREEK,Chum,801,East Haida Gwaii,Haida Gwaii,1589.0,399,52.92814546,-131.9503559
DASS CREEK,Pink (odd),813,East Haida Gwaii (odd),Haida Gwaii,1589.0,4964,52.92814546,-131.9503559
DASS CREEK,Pink (even),811,East Haida Gwaii (even),Haida Gwaii,1589.0,4032,52.92814546,-131.9503559
DASS CREEK,Coho,807,East Haida Gwaii,Haida Gwaii,1589.0,2518,52.92814546,-131.9503559
DATLAMEN CREEK,Pink (odd),814,North Haida Gwaii (odd),Haida Gwaii,1568.0,4855,53.56654725,-132.4856106
DATLAMEN CREEK,Coho,809,Haida Gwaii-Graham Island Lowlands,Haida Gwaii,1568.0,2297,53.56654725,-132.4856106
DATLAMEN CREEK,Pink (even),810,North Haida Gwaii (even),Haida Gwaii,1568.0,3867,53.56654725,-132.4856106
DATLAMEN CREEK,Chum,802,North Haida Gwaii,Haida Gwaii,1568.0,189,53.56654725,-132.4856106
DATLAMEN CREEK,River sockeye,817,North Haida Gwaii (river-type),Haida Gwaii,1568.0,5957,53.56654725,-132.4856106
DAVIDSON CREEK,Pink (odd),814,North Haida Gwaii (odd),Haida Gwaii,1558.0,4849,53.95441356,-132.6821811
DAVIDSON CREEK,Coho,809,Haida Gwaii-Graham Island Lowlands,Haida Gwaii,1558.0,2290,53.95441356,-132.6821811
DAVIDSON CREEK,Chum,802,North Haida Gwaii,Haida Gwaii,1558.0,182,53.95441356,-132.6821811
DAVIDSON CREEK,Pink (even),810,North Haida Gwaii (even),Haida Gwaii,1558.0,3859,53.95441356,-132.6821811
DAWSON HARBOUR CREEK,Pink (even),812,West Haida Gwaii (even),Haida Gwaii,1526.0,3990,53.17187462,-132.4327084
DAWSON HARBOUR CREEK,Pink (odd),815,West Haida Gwaii (odd),Haida Gwaii,1526.0,4930,53.17187462,-132.4327084
