sys_nm,species,cuid,cunamepse,region,GFE_ID,streamid,lat,lon
ALASTAIR LAKE,Lake sockeye,171,Alastair,Skeena,461.0,6494,54.12901782,-129.1878075
ALASTAIR LAKE,Coho,202,Lower Skeena,Skeena,461.0,3212,54.12901782,-129.1878075
ALICE CREEK,Coho,202,Lower Skeena,Skeena,2344.0,2829,54.6852329,-128.7659019
ALPHA CREEK,Chum,220,Skeena Estuary,Skeena,1932.0,661,53.86273753,-130.2793322
ALPHA CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,1932.0,4281,53.86273753,-130.2793322
ALPHA CREEK,Pink (odd),223,Nass-Skeena Estuary (odd),Skeena,1932.0,5166,53.86273753,-130.2793322
ALWYN CREEK,Coho,202,Lower Skeena,Skeena,472.0,3220,54.46472176,-128.7407099
ALWYN CREEK,Chinook,210,Lower Skeena,Skeena,472.0,1855,54.46472176,-128.7407099
AMERICAN BAY CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,357.0,4329,54.6018651,-130.7533016
AMERICAN BAY CREEK,Coho,225,Skeena Estuary,Skeena,357.0,2878,54.6018651,-130.7533016
ANDALAS CREEK,Coho,202,Lower Skeena,Skeena,509.0,3082,54.34943745,-128.5919119
ANDALAS CREEK,Lake sockeye,177,Lakelse,Skeena,509.0,6433,54.34943745,-128.5919119
ANDESITE CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,468.0,4437,54.37907086,-129.1256248
ANDESITE CREEK,Chinook,210,Lower Skeena,Skeena,468.0,1853,54.37907086,-129.1256248
ANDESITE CREEK,Pink (odd),209,Lower Skeena River (odd),Skeena,468.0,5413,54.37907086,-129.1256248
ANDESITE CREEK,Chum,211,Lower Skeena,Skeena,468.0,895,54.37907086,-129.1256248
ANSEDAGAN CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,643.0,4398,55.14024066,-129.3630428
ASITKA RIVER,Coho,231,Upper Skeena,Skeena,625.0,3156,56.39390601,-126.7896884
ASITKA RIVER,Lake sockeye,190,Asitika,Skeena,625.0,6469,56.39390601,-126.7896884
ASITKA RIVER,Chinook,212,Upper Skeena,Skeena,625.0,1816,56.39390601,-126.7896884
ATNA RIVER,Lake sockeye,185,Morice/Atna,Skeena,7990596.0,6516,54.01719337,-127.7591331
AZUKLOTZ CREEK,Coho,231,Upper Skeena,Skeena,624.0,3155,56.09783052,-126.7554938
AZUKLOTZ CREEK,Lake sockeye,191,Azuklotz,Skeena,624.0,6468,56.09783052,-126.7554938
BABINE LAKE,Pink (even),218,Middle-Upper Skeena (even),Skeena,2107.0,10423,55.27790244,-126.6063978
BABINE LAKE,Coho,215,Middle Skeena,Skeena,2107.0,2869,55.27790244,-126.6063978
BABINE LAKE,Chinook,222,Middle Skeena-Large Lakes,Skeena,2107.0,1661,55.27790244,-126.6063978
BABINE RIVER - SECTION 4,Pink (odd),213,Middle-Upper Skeena (odd),Skeena,593.0,5469,55.41496955,-126.6840055
BABINE RIVER - SECTION 4,Lake sockeye,186,Nilkitkwa,Skeena,593.0,6525,55.41496955,-126.6840055
BABINE RIVER - SECTION 4,Pink (even),218,Middle-Upper Skeena (even),Skeena,593.0,4482,55.41496955,-126.6840055
BABINE RIVER - SECTION 4,Chum,214,Middle Skeena,Skeena,593.0,960,55.41496955,-126.6840055
BABINE RIVER - SECTION 4,Chinook,222,Middle Skeena-Large Lakes,Skeena,593.0,1885,55.41496955,-126.6840055
BABINE RIVER - SECTION 4,Coho,215,Middle Skeena,Skeena,593.0,3312,55.41496955,-126.6840055
BABINE RIVER - SECTION 5,Chinook,222,Middle Skeena-Large Lakes,Skeena,2108.0,1662,55.42543326,-126.6964702
BABINE RIVER - SECTION 5,Pink (odd),213,Middle-Upper Skeena (odd),Skeena,2108.0,5221,55.42543326,-126.6964702
BABINE RIVER - SECTION 5,Lake sockeye,186,Nilkitkwa,Skeena,2108.0,6271,55.42543326,-126.6964702
BABINE RIVER - SECTION 5,Pink (even),218,Middle-Upper Skeena (even),Skeena,2108.0,4326,55.42543326,-126.6964702
BABINE RIVER - SECTION 5,Coho,215,Middle Skeena,Skeena,2108.0,2870,55.42543326,-126.6964702
BABINE RIVER - SECTION 5,Chum,214,Middle Skeena,Skeena,2108.0,721,55.42543326,-126.6964702
BABINE RIVER-SECTIONS 1 TO 3,Pink (even),218,Middle-Upper Skeena (even),Skeena,592.0,3792,55.32954471,-126.6314094
BABINE RIVER-SECTIONS 1 TO 3,Coho,215,Middle Skeena,Skeena,592.0,3311,55.32954471,-126.6314094
BABINE RIVER-SECTIONS 1 TO 3,Chinook,222,Middle Skeena-Large Lakes,Skeena,592.0,1410,55.32954471,-126.6314094
BABINE RIVER-SECTIONS 1 TO 3,Lake sockeye,186,Nilkitkwa,Skeena,592.0,6524,55.32954471,-126.6314094
BABINE-UNACCOUNTED,Coho,215,Middle Skeena,Skeena,591.0,3310,55.32184197,-126.6285563
BARNES CREEK,Lake sockeye,187,Stephens,Skeena,3549.0,5778,55.81441305,-128.6846325
BEAR LAKE,Chinook,222,Middle Skeena-Large Lakes,Skeena,622.0,1815,56.18626576,-126.8653709
BEAR LAKE,Lake sockeye,192,Bear,Skeena,622.0,6466,56.18626576,-126.8653709
BEAR LAKE,Coho,231,Upper Skeena,Skeena,622.0,3153,56.18626576,-126.8653709
BEAR RIVER,Pink (even),219,Nass-Skeena Estuary (even),Skeena,1780.0,4158,55.91761535,-129.9893414
BEAR RIVER,Lake sockeye,192,Bear,Skeena,621.0,6465,56.27990046,-126.9707829
BEAR RIVER,Pink (odd),213,Middle-Upper Skeena (odd),Skeena,621.0,5356,56.27990046,-126.9707829
BEAR RIVER,Coho,231,Upper Skeena,Skeena,621.0,3152,56.27990046,-126.9707829
BEAR RIVER,Chinook,222,Middle Skeena-Large Lakes,Skeena,621.0,1814,56.27990046,-126.9707829
BEAR RIVER,Pink (even),218,Middle-Upper Skeena (even),Skeena,621.0,4386,56.27990046,-126.9707829
BEAVERLODGE CREEK,Coho,215,Middle Skeena,Skeena,580.0,3302,55.66614152,-128.2963262
BEIRNES CREEK,Coho,231,Upper Skeena,Skeena,19720.0,3770,56.9469006,-128.3839005
BELLE BAY CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,1774.0,4154,55.28930403,-129.9439378
BERN-ANN CREEK,Lake sockeye,180,Babine/Onerka,Skeena,2109.0,6272,54.5052631,-125.5946646
BIG FALLS CREEK,Chum,211,Lower Skeena,Skeena,450.0,884,53.97895447,-129.7438778
BIG FALLS CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,450.0,4425,53.97895447,-129.7438778
BIG FALLS CREEK,Pink (odd),209,Lower Skeena River (odd),Skeena,450.0,5399,53.97895447,-129.7438778
BIG FALLS CREEK,Chinook,205,Ecstall,Skeena,450.0,1844,53.97895447,-129.7438778
BIG FISH CREEK,Coho,215,Middle Skeena,Skeena,574.0,3297,55.5943799,-128.1132159
BIG LOON CREEK,Coho,215,Middle Skeena,Skeena,607.0,3320,54.790273,-125.9196131
BIG LOON CREEK,Lake sockeye,180,Babine/Onerka,Skeena,607.0,6538,54.790273,-125.9196131
BILLY CREEK,Chum,220,Skeena Estuary,Skeena,1956.0,680,53.85966007,-130.4391046
BILLY CREEK,Pink (odd),223,Nass-Skeena Estuary (odd),Skeena,1956.0,5188,53.85966007,-130.4391046
BILLY CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,1956.0,4303,53.85966007,-130.4391046
BLACKWATER CREEK,Coho,202,Lower Skeena,Skeena,516.0,3089,54.41457617,-128.5264308
BLACKWATER CREEK,Lake sockeye,177,Lakelse,Skeena,516.0,6439,54.41457617,-128.5264308
BOAT HARBOUR CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,1740.0,4123,54.59079327,-130.9297745
BOUCHER CREEK,Pink (odd),213,Middle-Upper Skeena (odd),Skeena,596.0,5471,55.41561476,-126.6837607
BOUCHER CREEK,Lake sockeye,180,Babine/Onerka,Skeena,596.0,6528,55.41561476,-126.6837607
BOUCHER CREEK,Pink (even),218,Middle-Upper Skeena (even),Skeena,596.0,4484,55.41561476,-126.6837607
BOUCHER CREEK,Coho,215,Middle Skeena,Skeena,596.0,3315,55.41561476,-126.6837607
BOUCHER CREEK,Chinook,222,Middle Skeena-Large Lakes,Skeena,596.0,1888,55.41561476,-126.6837607
BROWN PAINT CREEK,Coho,215,Middle Skeena,Skeena,2798.0,2134,55.66384141,-128.3170786
BRUNDIGE CREEK,Chum,220,Skeena Estuary,Skeena,1741.0,514,54.58125535,-130.8985888
BRUNDIGE CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,1741.0,4124,54.58125535,-130.8985888
BRUNDIGE CREEK,Pink (odd),223,Nass-Skeena Estuary (odd),Skeena,1741.0,5017,54.58125535,-130.8985888
BRUNDIGE CREEK,Coho,225,Skeena Estuary,Skeena,1741.0,2620,54.58125535,-130.8985888
BRUNDIGE CREEK WEST,Pink (even),219,Nass-Skeena Estuary (even),Skeena,2313.0,4318,54.59780466,-130.8858135
BRUNDIGE CREEK WEST,Pink (odd),223,Nass-Skeena Estuary (odd),Skeena,2313.0,5210,54.59780466,-130.8858135
BRUNDIGE CREEK WEST,Chum,220,Skeena Estuary,Skeena,2313.0,710,54.59780466,-130.8858135
BUCK CREEK,Chinook,221,Upper Bulkley River,Skeena,563.0,1872,54.40319161,-126.6590149
BUCK CREEK,Coho,215,Middle Skeena,Skeena,563.0,3286,54.40319161,-126.6590149
BUCK CREEK,Pink (odd),213,Middle-Upper Skeena (odd),Skeena,563.0,5456,54.40319161,-126.6590149
BULKLEY RIVER,Steelhead,287,Bulkley,Skeena,,9724,54.931604,-127.300022
BULKLEY RIVER - LOWER,River sockeye,226,Skeena River (river-type),Skeena,540.0,6453,55.24622142,-127.674874
BULKLEY RIVER - LOWER,Chinook,217,Middle Skeena-Mainstem Tributaries,Skeena,540.0,1807,55.24622142,-127.674874
BULKLEY RIVER - LOWER,Pink (odd),213,Middle-Upper Skeena (odd),Skeena,540.0,5333,55.24622142,-127.674874
BULKLEY RIVER - LOWER,Coho,215,Middle Skeena,Skeena,540.0,3110,55.24622142,-127.674874
BULKLEY RIVER - LOWER,Pink (even),218,Middle-Upper Skeena (even),Skeena,540.0,4373,55.24622142,-127.674874
BULKLEY RIVER - UPPER,Coho,215,Middle Skeena,Skeena,541.0,3111,54.3953496,-126.7092918
BULKLEY RIVER - UPPER,River sockeye,226,Skeena River (river-type),Skeena,541.0,6454,54.3953496,-126.7092918
BULKLEY RIVER - UPPER,Pink (odd),213,Middle-Upper Skeena (odd),Skeena,541.0,5334,54.3953496,-126.7092918
BULKLEY RIVER - UPPER,Pink (even),218,Middle-Upper Skeena (even),Skeena,541.0,4374,54.3953496,-126.7092918
BULKLEY RIVER - UPPER,Chinook,221,Upper Bulkley River,Skeena,541.0,1808,54.3953496,-126.7092918
BURDICK CREEK,Pink (odd),213,Middle-Upper Skeena (odd),Skeena,492.0,5306,55.17995495,-127.7590055
BURDICK CREEK,Pink (even),218,Middle-Upper Skeena (even),Skeena,492.0,4346,55.17995495,-127.7590055
BURDICK CREEK,Coho,215,Middle Skeena,Skeena,492.0,3068,55.17995495,-127.7590055
CANYON CREEK,Coho,215,Middle Skeena,Skeena,553.0,3277,54.82357512,-127.1508196
CASCADE CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,1766.0,4146,55.36868266,-129.8330803
CAUSQUA CREEK,Pink (odd),213,Middle-Upper Skeena (odd),Skeena,547.0,5339,55.03626226,-127.3071692
CAUSQUA CREEK,Pink (even),218,Middle-Upper Skeena (even),Skeena,547.0,4379,55.03626226,-127.3071692
CEDAR CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,2308.0,4314,54.59938424,-129.9602949
CEDAR RIVER,Chinook,206,Kalum-Early,Skeena,531.0,1801,54.83316537,-128.8429245
CEDAR RIVER,Lake sockeye,176,Kitsumkalum,Skeena,531.0,6448,54.83316537,-128.8429245
CEDAR RIVER,Coho,202,Lower Skeena,Skeena,531.0,3103,54.83316537,-128.8429245
CHAMBERS CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,631.0,4389,54.91655704,-129.9974725
CHICAGO CREEK,Coho,215,Middle Skeena,Skeena,493.0,3069,55.22080984,-127.6853392
CHICAGO CREEK,Chum,214,Middle Skeena,Skeena,493.0,807,55.22080984,-127.6853392
CHICAGO CREEK,Pink (odd),213,Middle-Upper Skeena (odd),Skeena,493.0,5307,55.22080984,-127.6853392
CHICAGO CREEK,Pink (even),218,Middle-Upper Skeena (even),Skeena,493.0,4347,55.22080984,-127.6853392
CHIMDEMASH CREEK,Pink (odd),209,Lower Skeena River (odd),Skeena,480.0,5354,54.664963,-128.3761638
CHIMDEMASH CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,480.0,4385,54.664963,-128.3761638
CHIPMUNK CREEK,Coho,231,Upper Skeena,Skeena,2833.0,2138,56.69666373,-127.802204
CHISMORE CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,1953.0,4300,54.03055179,-130.2972897
CHISMORE CREEK,Pink (odd),223,Nass-Skeena Estuary (odd),Skeena,1953.0,5185,54.03055179,-130.2972897
CLAY CREEK,Pink (odd),209,Lower Skeena River (odd),Skeena,462.0,5410,54.31744042,-129.2057641
CLAY CREEK,Chinook,210,Lower Skeena,Skeena,462.0,1850,54.31744042,-129.2057641
CLAY CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,462.0,4435,54.31744042,-129.2057641
CLAY CREEK,Coho,202,Lower Skeena,Skeena,462.0,3213,54.31744042,-129.2057641
CLAY CREEK,Chum,211,Lower Skeena,Skeena,462.0,892,54.31744042,-129.2057641
CLEAR CREEK,Chinook,206,Kalum-Early,Skeena,530.0,1800,54.82455618,-128.7907802
CLEAR CREEK,Lake sockeye,176,Kitsumkalum,Skeena,530.0,6447,54.82455618,-128.7907802
CLEAR CREEK,Coho,202,Lower Skeena,Skeena,530.0,3102,54.82455618,-128.7907802
CLEARWATER CREEK,Coho,202,Lower Skeena,Skeena,510.0,3083,54.3451545,-128.5894548
CLEARWATER CREEK,Pink (odd),209,Lower Skeena River (odd),Skeena,510.0,5318,54.3451545,-128.5894548
CLEARWATER CREEK,Lake sockeye,177,Lakelse,Skeena,510.0,6434,54.3451545,-128.5894548
CLIFF CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,377.0,4334,54.62129,-130.0213822
CLIFFORD CREEK,Pink (odd),213,Middle-Upper Skeena (odd),Skeena,577.0,5466,55.65566219,-128.2102589
CLIFFORD CREEK,Coho,215,Middle Skeena,Skeena,577.0,3299,55.65566219,-128.2102589
CLIFFORD CREEK,Pink (even),218,Middle-Upper Skeena (even),Skeena,577.0,4479,55.65566219,-128.2102589
CLUB CREEK - LOWER (BETWEEN CLUB LAKE AND STEPHENS LAKE),Chinook,217,Middle Skeena-Mainstem Tributaries,Skeena,586.0,1883,55.78845685,-128.6130983
CLUB CREEK - LOWER (BETWEEN CLUB LAKE AND STEPHENS LAKE),Lake sockeye,187,Stephens,Skeena,586.0,6521,55.78845685,-128.6130983
CLUB CREEK - LOWER (BETWEEN CLUB LAKE AND STEPHENS LAKE),Coho,215,Middle Skeena,Skeena,586.0,3308,55.78845685,-128.6130983
CLUB CREEK - UPPER,Coho,215,Middle Skeena,Skeena,587.0,3309,55.79515775,-128.6239246
CLUB CREEK - UPPER,Lake sockeye,187,Stephens,Skeena,587.0,6522,55.79515775,-128.6239246
CLUB CREEK - UPPER,Chinook,217,Middle Skeena-Mainstem Tributaries,Skeena,587.0,1884,55.79515775,-128.6239246
COHOE CREEK,Coho,202,Lower Skeena,Skeena,532.0,3104,54.8314322,-129.233858
COLDWATER CREEK,Pink (odd),209,Lower Skeena River (odd),Skeena,507.0,5316,54.38924951,-128.6302456
COLDWATER CREEK,Coho,202,Lower Skeena,Skeena,507.0,3080,54.38924951,-128.6302456
COLDWATER CREEK,Chinook,227,Lakelse,Skeena,507.0,1790,54.38924951,-128.6302456
COLDWATER CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,507.0,4357,54.38924951,-128.6302456
COLE CREEK,Coho,202,Lower Skeena,Skeena,2356.0,2840,54.47341605,-127.9205647
COMEAU CREEK,Chinook,217,Middle Skeena-Mainstem Tributaries,Skeena,491.0,1780,55.15640138,-127.7777547
COMEAU CREEK,Pink (even),218,Middle-Upper Skeena (even),Skeena,491.0,4345,55.15640138,-127.7777547
COMEAU CREEK,Coho,215,Middle Skeena,Skeena,491.0,3067,55.15640138,-127.7777547
COMEAU CREEK,Chum,214,Middle Skeena,Skeena,491.0,806,55.15640138,-127.7777547
COMEAU CREEK,Pink (odd),213,Middle-Upper Skeena (odd),Skeena,491.0,5305,55.15640138,-127.7777547
COTE CREEK,Coho,202,Lower Skeena,Skeena,2355.0,2839,54.34918501,-128.6474157
CRAG CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,2312.0,4317,54.80406871,-130.3631934
CROSS CREEK,Lake sockeye,180,Babine/Onerka,Skeena,612.0,6502,54.51266329,-125.7000782
CROW LAGOON CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,2307.0,4313,54.70826643,-130.2110652
CULLON CREEK,Pink (odd),213,Middle-Upper Skeena (odd),Skeena,571.0,5462,55.56749798,-127.901624
CULLON CREEK,Coho,215,Middle Skeena,Skeena,571.0,3294,55.56749798,-127.901624
CULLON CREEK,Chinook,217,Middle Skeena-Mainstem Tributaries,Skeena,571.0,1879,55.56749798,-127.901624
CULLON CREEK,Pink (even),218,Middle-Upper Skeena (even),Skeena,571.0,4475,55.56749798,-127.901624
CULLON CREEK,Chum,214,Middle Skeena,Skeena,571.0,957,55.56749798,-127.901624
CULP CREEK,Coho,202,Lower Skeena,Skeena,2354.0,2838,54.67143944,-128.7237117
DAK RIVER,Pink (even),219,Nass-Skeena Estuary (even),Skeena,2236.0,10422,55.4947762,-129.4778696
DAMSHILGWIT CREEK,Chinook,217,Middle Skeena-Mainstem Tributaries,Skeena,499.0,1784,56.39726515,-127.9224364
DAMSHILGWIT CREEK,Chum,242,Upper Skeena,Skeena,499.0,10418,56.39726515,-127.9224364
DAMSHILGWIT CREEK,Pink (even),218,Middle-Upper Skeena (even),Skeena,499.0,4353,56.39726515,-127.9224364
DAMSHILGWIT CREEK,Coho,231,Upper Skeena,Skeena,499.0,3074,56.39726515,-127.9224364
DAMSHILGWIT CREEK,Pink (odd),213,Middle-Upper Skeena (odd),Skeena,499.0,5312,56.39726515,-127.9224364
DAMSHILGWIT CREEK,Lake sockeye,193,Damshilgwit,Skeena,499.0,6427,56.39726515,-127.9224364
DASQUE CREEK,Coho,202,Lower Skeena,Skeena,2601.0,2815,54.39264043,-128.9238213
DASQUE CREEK,River sockeye,226,Skeena River (river-type),Skeena,2601.0,10427,54.39264043,-128.9238213
DASQUE CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,2601.0,10424,54.39264043,-128.9238213
DASQUE CREEK,Chum,211,Lower Skeena,Skeena,2601.0,1384,54.39264043,-128.9238213
DASQUE CREEK,Pink (odd),209,Lower Skeena River (odd),Skeena,2601.0,10426,54.39264043,-128.9238213
DATE CREEK,Pink (odd),213,Middle-Upper Skeena (odd),Skeena,567.0,5458,55.38360669,-127.6911415
DATE CREEK,Coho,215,Middle Skeena,Skeena,567.0,3290,55.38360669,-127.6911415
DATE CREEK,Pink (even),218,Middle-Upper Skeena (even),Skeena,567.0,4471,55.38360669,-127.6911415
DATE CREEK,Chum,214,Middle Skeena,Skeena,567.0,954,55.38360669,-127.6911415
DATE CREEK,Chinook,217,Middle Skeena-Mainstem Tributaries,Skeena,567.0,1876,55.38360669,-127.6911415
DEEP CANOE CREEK,Pink (even),218,Middle-Upper Skeena (even),Skeena,497.0,4351,55.76823743,-127.9626769
DEEP CANOE CREEK,Chinook,217,Middle Skeena-Mainstem Tributaries,Skeena,497.0,1782,55.76823743,-127.9626769
DEEP CANYON CREEK,Pink (odd),213,Middle-Upper Skeena (odd),Skeena,538.0,5332,55.02632549,-127.7453281
DEEP CANYON CREEK,Pink (even),218,Middle-Upper Skeena (even),Skeena,538.0,4372,55.02632549,-127.7453281
DEEP CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,523.0,4367,54.56445568,-128.6628047
DEEP CREEK,Coho,202,Lower Skeena,Skeena,523.0,3095,54.56445568,-128.6628047
DEEP CREEK,Chum,211,Lower Skeena,Skeena,523.0,813,54.56445568,-128.6628047
DEEP CREEK,Pink (odd),209,Lower Skeena River (odd),Skeena,523.0,5327,54.56445568,-128.6628047
DEEP CREEK,Chinook,207,Kalum-Late,Skeena,523.0,1796,54.56445568,-128.6628047
DEEP CREEK,Coho,215,Middle Skeena,Skeena,2656.0,10419,54.58591569,-126.8526014
DENISE CREEK,Chum,220,Skeena Estuary,Skeena,1735.0,509,54.28488033,-130.146396
DENISE CREEK,Pink (odd),223,Nass-Skeena Estuary (odd),Skeena,1735.0,5012,54.28488033,-130.146396
DENISE CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,1735.0,4118,54.28488033,-130.146396
DENISE CREEK,Coho,225,Skeena Estuary,Skeena,1735.0,2615,54.28488033,-130.146396
DIANA LAKE CREEK,Lake sockeye,291,Prudhomme,Skeena,1733.0,6077,54.23687877,-130.1525832
DIANA LAKE CREEK,Coho,225,Skeena Estuary,Skeena,1733.0,2613,54.23687877,-130.1525832
DIANA LAKE CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,1733.0,4116,54.23687877,-130.1525832
DIANA LAKE CREEK,Chinook,224,Skeena Estuary,Skeena,1733.0,1561,54.23687877,-130.1525832
DIANA LAKE CREEK,Chum,220,Skeena Estuary,Skeena,1733.0,508,54.23687877,-130.1525832
DIANA LAKE CREEK,Pink (odd),223,Nass-Skeena Estuary (odd),Skeena,1733.0,5011,54.23687877,-130.1525832
DISKANGIEQ CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,638.0,4394,55.03681921,-129.5509499
DOG TAG CREEK,Chum,211,Lower Skeena,Skeena,463.0,34,54.29147189,-129.194939
DOG TAG CREEK,Chinook,210,Lower Skeena,Skeena,463.0,1407,54.29147189,-129.194939
DOG TAG CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,463.0,3789,54.29147189,-129.194939
DOG TAG CREEK,Coho,202,Lower Skeena,Skeena,463.0,2139,54.29147189,-129.194939
DOG TAG CREEK,Pink (odd),209,Lower Skeena River (odd),Skeena,463.0,4790,54.29147189,-129.194939
DOGFISH CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,1768.0,4148,55.05688157,-130.1433007
DONAHUE CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,1776.0,4156,55.47461787,-130.0448377
DONALDS CREEK,Lake sockeye,180,Babine/Onerka,Skeena,613.0,6503,54.49081734,-125.6455451
DRIFTWOOD CREEK,Coho,215,Middle Skeena,Skeena,552.0,3276,54.84773683,-127.1644963
DRY CREEK,Lake sockeye,176,Kitsumkalum,Skeena,529.0,6446,54.82246686,-128.7830861
DRY CREEK,Coho,202,Lower Skeena,Skeena,529.0,3101,54.82246686,-128.7830861
ECSTALL RIVER,Lake sockeye,174,Ecstall/Lower,Skeena,447.0,6490,54.16636059,-129.9584096
ECSTALL RIVER,Chinook,205,Ecstall,Skeena,447.0,1843,54.16636059,-129.9584096
ECSTALL RIVER,Pink (odd),209,Lower Skeena River (odd),Skeena,447.0,5396,54.16636059,-129.9584096
ECSTALL RIVER,Coho,202,Lower Skeena,Skeena,447.0,3201,54.16636059,-129.9584096
ECSTALL RIVER,Chum,211,Lower Skeena,Skeena,447.0,882,54.16636059,-129.9584096
ECSTALL RIVER,Pink (even),219,Nass-Skeena Estuary (even),Skeena,447.0,4422,54.16636059,-129.9584096
ELF CREEK,Coho,202,Lower Skeena,Skeena,2351.0,2835,54.38175962,-127.9924001
ENSHESHESE RIVER,Pink (even),219,Nass-Skeena Estuary (even),Skeena,1751.0,4132,54.5077876,-130.2271679
ERLANDSEN CREEK,Chum,211,Lower Skeena,Skeena,474.0,900,54.54287867,-128.7397515
ERLANDSEN CREEK,Coho,202,Lower Skeena,Skeena,474.0,3222,54.54287867,-128.7397515
ERLANDSEN CREEK,Chinook,210,Lower Skeena,Skeena,474.0,1857,54.54287867,-128.7397515
ERLANDSEN CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,474.0,4442,54.54287867,-128.7397515
ERLANDSEN CREEK,Pink (odd),209,Lower Skeena River (odd),Skeena,474.0,5418,54.54287867,-128.7397515
ESKER SLOUGH,River sockeye,226,Skeena River (river-type),Skeena,364.0,6335,54.39582069,-129.0397141
ESKER SLOUGH,Coho,202,Lower Skeena,Skeena,364.0,2882,54.39582069,-129.0397141
EXCHAMSIKS RIVER,River sockeye,226,Skeena River (river-type),Skeena,504.0,6431,54.33220531,-129.2959724
EXCHAMSIKS RIVER,Chinook,210,Lower Skeena,Skeena,504.0,1787,54.33220531,-129.2959724
EXCHAMSIKS RIVER,Pink (even),219,Nass-Skeena Estuary (even),Skeena,504.0,4354,54.33220531,-129.2959724
EXCHAMSIKS RIVER,Pink (odd),209,Lower Skeena River (odd),Skeena,504.0,5313,54.33220531,-129.2959724
EXCHAMSIKS RIVER,Coho,202,Lower Skeena,Skeena,504.0,3077,54.33220531,-129.2959724
EXCHAMSIKS RIVER,Chum,211,Lower Skeena,Skeena,504.0,808,54.33220531,-129.2959724
EXSTEW RIVER,Coho,202,Lower Skeena,Skeena,469.0,3217,54.39809355,-129.0593142
EXSTEW RIVER,Chum,211,Lower Skeena,Skeena,469.0,896,54.39809355,-129.0593142
EXSTEW RIVER,Chinook,210,Lower Skeena,Skeena,469.0,1854,54.39809355,-129.0593142
EXSTEW RIVER,River sockeye,226,Skeena River (river-type),Skeena,469.0,6498,54.39809355,-129.0593142
EXSTEW RIVER,Pink (odd),209,Lower Skeena River (odd),Skeena,469.0,5414,54.39809355,-129.0593142
EXSTEW RIVER,Pink (even),219,Nass-Skeena Estuary (even),Skeena,469.0,4438,54.39809355,-129.0593142
EXSTEW SLOUGH,Chum,211,Lower Skeena,Skeena,444.0,880,54.39867765,-129.0592478
EXSTEW SLOUGH,Pink (odd),209,Lower Skeena River (odd),Skeena,444.0,5393,54.39867765,-129.0592478
EXSTEW SLOUGH,Pink (even),219,Nass-Skeena Estuary (even),Skeena,444.0,4419,54.39867765,-129.0592478
FALLS CREEK,Coho,215,Middle Skeena,Skeena,2000.0,2877,55.80767085,-128.6439873
FALLS CREEK,Lake sockeye,187,Stephens,Skeena,2000.0,6281,55.80767085,-128.6439873
FIDDLER CREEK,Chinook,210,Lower Skeena,Skeena,482.0,1777,54.85891386,-128.3647402
FIDDLER CREEK,Chum,211,Lower Skeena,Skeena,482.0,803,54.85891386,-128.3647402
FIDDLER CREEK,Pink (odd),209,Lower Skeena River (odd),Skeena,482.0,5299,54.85891386,-128.3647402
FIDDLER CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,482.0,4339,54.85891386,-128.3647402
FIDDLER CREEK,Coho,202,Lower Skeena,Skeena,482.0,3063,54.85891386,-128.3647402
FIVE MILE CREEK,Lake sockeye,180,Babine/Onerka,Skeena,598.0,6530,55.25585978,-126.600448
FIVE MILE CREEK,Pink (odd),213,Middle-Upper Skeena (odd),Skeena,598.0,5473,55.25585978,-126.600448
FLEWIN CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,632.0,4390,54.9344765,-129.9283836
FOOTE CREEK,Pink (odd),223,Nass-Skeena Estuary (odd),Skeena,1960.0,5192,54.03069736,-130.4211647
