region,species_name,type,current_status,short_trend,short_trend_cat,long_trend,long_trend_cat,current_abundance,current_abundance_year,average_abundance,previous_gen_abundance,gen_length,nyears,rangeyears,datasetversion
Nass,Steelhead,Spawners,-0.132883613,-0.034847914,arrow-down,0.022718847,arrow-up,9849,2024,11358,17048,5,33,1992-2024,20251112
Nass,Steelhead,Run Size,-0.259427805,-0.046814713,arrow-down,0.006205496,arrows-left-right,13206,2024,17832,21890,5,33,1992-2024,20251112
Northern Transboundary,Chinook,Spawners,-0.462833016,-0.048194563,arrow-down,-0.012657069,arrow-down,29921,2024,55702,26281,5,49,1976-2024,20251112
Northern Transboundary,Chinook,Run Size,-0.529113849,-0.076979008,arrow-down,-0.009151934,arrow-down,32247,2024,68481,32351,5,49,1976-2024,20251112
Northern Transboundary,Chum,Spawners,-0.761775096,-0.13408737,arrow-down,-0.051879656,arrow-down,55,2024,230,79,4,41,1984-2024,20251112
Northern Transboundary,Chum,Run Size,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,4,-989898,-989898,20251112
Northern Transboundary,Coho,Spawners,-0.136711355,-0.030302307,arrow-down,0.00580083,arrows-left-right,68447,2024,79287,66428,5,38,1987-2024,20251112
Northern Transboundary,Coho,Run Size,-0.21643284,-0.036556342,arrow-down,-0.011891813,arrow-down,88863,2024,113408,90981,5,33,1992-2024,20251112
Northern Transboundary,Pink,Spawners,-0.835093248,-0.237693952,arrows-left-right,-0.029597575,arrow-down,1420,2024,8609,7418,2,41,1984-2024,20251112
Northern Transboundary,Pink,Run Size,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,2,-989898,-989898,20251112
Northern Transboundary,Sockeye,Spawners,0.342736345,0.016918008,arrow-up,0.003648265,arrows-left-right,187383,2024,139553,142543,5,41,1984-2024,20251112
Northern Transboundary,Sockeye,Run Size,-0.114393984,-0.019900272,arrow-down,0.001449063,arrows-left-right,281941,2024,318359,296228,5,41,1984-2024,20251112
Northern Transboundary,Steelhead,Spawners,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,20251112
