"","X","stream","year","date","doy","days_at_risk","arrived","flow","flow_7d","flow_14d","flow_30d","flow_delta_14d","flow_cum_since_start","days_since_high_flow","jan_jun_mean_flow","n_missing_flow"
"2835",2899,"NANAIMO RIVER",2022,"2022-08-13",225,225,0,2.48,2.63857142857159,2.84428571428621,3.55799999999969,-0.205714285714618,2618.1,62,13.3608839779006,0
"2836",2900,"NANAIMO RIVER",2022,"2022-08-14",226,226,0,2.45,2.58714285714086,2.78999999999983,3.46266666666585,-0.202857142858972,2620.55,63,13.3608839779006,0
"2837",2901,"NANAIMO RIVER",2022,"2022-08-15",227,227,0,2.38,2.53571428571429,2.73428571428563,3.36699999999934,-0.198571428571345,2622.93,64,13.3608839779006,0
"2838",2902,"NANAIMO RIVER",2022,"2022-08-16",228,228,0,2.29,2.47714285714236,2.67785714285648,3.26966666666655,-0.20071428571412,2625.22,65,13.3608839779006,0
"2839",2903,"NANAIMO RIVER",2022,"2022-08-17",229,229,0,2.06,2.39428571428704,2.60642857142791,3.17733333333357,-0.212142857140861,2627.28,66,13.3608839779006,0
"2840",2904,"NANAIMO RIVER",2022,"2022-08-18",230,230,0,1.97,2.30714285714203,2.53142857142874,3.09266666666663,-0.224285714286712,2629.25,67,13.3608839779006,0
"2841",2905,"NANAIMO RIVER",2022,"2022-08-19",231,231,0,1.81,2.20571428571462,2.45071428571412,3.00666666666608,-0.244999999999501,2631.06,68,13.3608839779006,0
"2842",2906,"NANAIMO RIVER",2022,"2022-08-20",232,232,0,1.8,2.10857142857276,2.37357142857218,2.92400000000004,-0.264999999999418,2632.86,69,13.3608839779006,0
"2843",2907,"NANAIMO RIVER",2022,"2022-08-21",233,233,0,1.77,2.0114285714309,2.29928571428588,2.84400000000023,-0.287857142854981,2634.63,70,13.3608839779006,0
"2844",2908,"NANAIMO RIVER",2022,"2022-08-22",234,234,0,1.76,1.92285714286014,2.22928571428721,2.76833333333392,-0.306428571427075,2636.39,71,13.3608839779006,0
"2845",2909,"NANAIMO RIVER",2022,"2022-08-23",235,235,0,1.74,1.84428571428621,2.16071428571429,2.69733333333376,-0.316428571428072,2638.13,72,13.3608839779006,0
"2846",2910,"NANAIMO RIVER",2022,"2022-08-24",236,236,0,1.72,1.79571428571528,2.09500000000116,2.63033333333345,-0.299285714285881,2639.85,73,13.3608839779006,0
"2847",2911,"NANAIMO RIVER",2022,"2022-08-25",237,237,0,1.68,1.75428571428555,2.03071428571379,2.56399999999946,-0.276428571428239,2641.53,74,13.3608839779006,0
"2848",2912,"NANAIMO RIVER",2022,"2022-08-26",238,238,0,1.68,1.73571428571345,1.97071428571404,2.50099999999996,-0.235000000000582,2643.21,75,13.3608839779006,0
"2849",2913,"NANAIMO RIVER",2022,"2022-08-27",239,239,0,1.7,1.72142857142691,1.91499999999983,2.44266666666663,-0.193571428572925,2644.91,76,13.3608839779006,0
"2850",2914,"NANAIMO RIVER",2022,"2022-08-28",240,240,0,1.68,1.70857142857026,1.86000000000058,2.38633333333322,-0.151428571430318,2646.59,77,13.3608839779006,0
"2851",2915,"NANAIMO RIVER",2022,"2022-08-29",241,241,0,1.66,1.69428571428372,1.80857142857193,2.33233333333337,-0.114285714288209,2648.25,78,13.3608839779006,0
"2852",2916,"NANAIMO RIVER",2022,"2022-08-30",242,242,0,1.59,1.67285714285598,1.7585714285711,2.27833333333353,-0.0857142857151174,2649.84,79,13.3608839779006,0
"2853",2917,"NANAIMO RIVER",2022,"2022-08-31",243,243,0,1.61,1.65714285714369,1.72642857142949,2.22666666666725,-0.0692857142857974,2651.45,80,13.3608839779006,0
"2854",2918,"NANAIMO RIVER",2022,"2022-09-01",244,244,0,1.6,1.64571428571279,1.69999999999917,2.1773333333326,-0.0542857142863795,2653.05,81,13.3608839779006,0
"2855",2919,"NANAIMO RIVER",2022,"2022-09-02",245,245,0,1.59,1.6328571428603,1.68428571428688,2.12833333333353,-0.0514285714265756,2654.64,82,13.3608839779006,0
"2856",2920,"NANAIMO RIVER",2022,"2022-09-03",246,246,0,1.57,1.61428571428405,1.66785714285548,2.07999999999981,-0.0535714285714286,2656.21,83,13.3608839779006,0
"2857",2921,"NANAIMO RIVER",2022,"2022-09-04",247,247,0,1.56,1.59714285714186,1.65285714285606,2.03399999999965,-0.0557142857142026,2657.77,84,13.3608839779006,0
"2858",2922,"NANAIMO RIVER",2022,"2022-09-05",248,248,0,1.55,1.58142857142957,1.63785714285664,1.98966666666674,-0.0564285714270747,2659.32,85,13.3608839779006,0
"2859",2923,"NANAIMO RIVER",2022,"2022-09-06",249,249,0,1.55,1.57571428571412,1.62428571428505,1.94766666666643,-0.0485714285709298,2660.87,86,13.3608839779006,0
"2860",2924,"NANAIMO RIVER",2022,"2022-09-07",250,250,1,1.54,1.56571428571312,1.61142857142841,1.90766666666702,-0.0457142857152835,2662.41,87,13.3608839779006,0
"2861",2925,"NANAIMO RIVER",2024,"2024-01-01",1,1,0,22,29.7714285714277,21.1642857142849,20.4473333333328,8.60714285714286,22,0,10.9616022099448,0
"2862",2926,"NANAIMO RIVER",2024,"2024-01-02",2,2,0,18.6,27.6714285714261,21.5714285714286,20.7866666666669,6.0999999999975,40.6,0,10.9616022099448,0
"2863",2927,"NANAIMO RIVER",2024,"2024-01-03",3,3,0,16.2,26.2142857142857,21.7285714285723,20.6566666666671,4.48571428571346,56.8,0,10.9616022099448,0
"2864",2928,"NANAIMO RIVER",2024,"2024-01-04",4,4,0,14.3,23.1857142857126,21.807142857142,19.4,1.3785714285706,71.1,0,10.9616022099448,0
"2865",2929,"NANAIMO RIVER",2024,"2024-01-05",5,5,0,14.6,20.3714285714294,21.942857142858,18.6766666666663,-1.57142857142857,85.7,0,10.9616022099448,0
"2866",2930,"NANAIMO RIVER",2024,"2024-01-06",6,6,0,23.4,19.3571428571429,22.7714285714277,18.4700000000002,-3.41428571428488,109.1,0,10.9616022099448,0
"2867",2931,"NANAIMO RIVER",2024,"2024-01-07",7,7,0,17.4,18.0714285714286,23.2357142857135,18.2666666666667,-5.16428571428488,126.5,0,10.9616022099448,0
"2868",2932,"NANAIMO RIVER",2024,"2024-01-08",8,8,0,15.7,17.1714285714302,23.471428571429,18.1200000000002,-6.29999999999875,142.2,0,10.9616022099448,0
"2869",2933,"NANAIMO RIVER",2024,"2024-01-09",9,9,0,32,19.0857142857151,23.3785714285706,18.5799999999998,-4.29285714285548,174.2,0,10.9616022099448,0
"2870",2934,"NANAIMO RIVER",2024,"2024-01-10",10,10,0,22.9,20.0428571428555,23.1285714285706,18.7933333333329,-3.08571428571512,197.1,0,10.9616022099448,0
"2871",2935,"NANAIMO RIVER",2024,"2024-01-11",11,11,0,18,20.5714285714286,21.8785714285706,18.9099999999996,-1.30714285714203,215.1,0,10.9616022099448,0
"2872",2936,"NANAIMO RIVER",2024,"2024-01-12",12,12,0,15.2,20.6571428571437,20.5142857142865,18.9866666666669,0.142857142857142,230.3,0,10.9616022099448,0
"2873",2937,"NANAIMO RIVER",2024,"2024-01-13",13,13,0,13.1,19.1857142857168,19.2714285714298,18.9666666666667,-0.0857142857130384,243.4,1,10.9616022099448,0
"2874",2938,"NANAIMO RIVER",2024,"2024-01-14",14,14,0,11.7,18.3714285714294,18.221428571429,18.9033333333335,0.150000000000414,255.1,2,10.9616022099448,0
"2875",2939,"NANAIMO RIVER",2024,"2024-01-15",15,15,0,10.5,17.6285714285706,17.4000000000004,18.8099999999996,0.228571428570184,265.6,3,10.9616022099448,0
"2876",2940,"NANAIMO RIVER",2024,"2024-01-16",16,16,0,9.63,14.432857142857,16.759285714286,18.7210000000002,-2.32642857142907,275.23,4,10.9616022099448,0
"2877",2941,"NANAIMO RIVER",2024,"2024-01-17",17,17,0,9.14,12.4671428571414,16.2549999999984,18.6223333333328,-3.78785714285706,284.37,5,10.9616022099448,0
"2878",2942,"NANAIMO RIVER",2024,"2024-01-18",18,18,0,8.46,11.1042857142872,15.8378571428579,18.4743333333337,-4.73357142857068,292.83,6,10.9616022099448,0
"2879",2943,"NANAIMO RIVER",2024,"2024-01-19",19,19,0,8.52,10.1499999999983,15.403571428571,18.2916666666667,-5.25357142857268,301.35,7,10.9616022099448,0
"2880",2944,"NANAIMO RIVER",2024,"2024-01-20",20,20,0,9.28,9.60428571428305,14.3949999999999,18.1609999999996,-4.79071428571686,310.63,8,10.9616022099448,0
"2881",2945,"NANAIMO RIVER",2024,"2024-01-21",21,21,0,9.81,9.33428571428522,13.8528571428573,18.0646666666667,-4.51857142857209,320.44,9,10.9616022099448,0
"2882",2946,"NANAIMO RIVER",2024,"2024-01-22",22,22,0,13.5,9.76285714285664,13.6957142857136,18.1213333333328,-3.93285714285698,333.94,10,10.9616022099448,0
"2883",2947,"NANAIMO RIVER",2024,"2024-01-23",23,23,0,16.7,10.7728571428576,12.6028571428573,18.3146666666667,-1.82999999999967,350.64,0,10.9616022099448,0
"2884",2948,"NANAIMO RIVER",2024,"2024-01-24",24,24,0,18.3,12.0814285714296,12.2742857142855,18.5113333333332,-0.192857142855896,368.94,0,10.9616022099448,0
"2885",2949,"NANAIMO RIVER",2024,"2024-01-25",25,25,0,23.1,14.172857142856,12.6385714285716,18.1713333333328,1.53428571428438,392.04,0,10.9616022099448,0
"2886",2950,"NANAIMO RIVER",2024,"2024-01-26",26,26,0,21.7,16.0557142857163,13.1028571428573,18.0146666666667,2.95285714285897,413.74,0,10.9616022099448,0
